structure,mixingenergy
O96La1Ru45Hg1Ag1,-8.940
O96La1Ru45Pb1Hg1,-8.769
O96La1Ru46Pb1,-7.042
O96Mn1Ru36Ga6V5,-10.878
O96Mn1Ru36Sn6Nb5,-1.937
O96Mn1Ru37Cu5V5,-10.336
O96Mn1Ru37Ta6Sn4,-7.387
O96Mn1Ru38Bi5Nb4,-7.315
O96Mn1Ru38Bi6Ga3,-11.010
O96Mn1Ru38Sn3Co6,-5.979
O96Mn1Ru38Sn3Cu6,-10.226
O96Mn1Ru38Ta4Co5,-9.482
O96Mn1Ru38Ta6Cu3,-13.436
O96Mo1Ru41Sb3Ag3,-7.450
O96Mo1Ru42Pd2Co3,-4.538
O96Mo1Ru43Ge2Ni2,-2.690
O96Mo1Ru43Sn3Ni1,-1.708
O96Mo1Ru44Cd2Pd1,-4.797
O96Mo1Ru44In3,-7.068
O96Mo1Ru44Pd2Zn1,-3.347
O96Mo1Ru44Sb3,-3.247
O96Mo1Ru45Tc2,-1.299
O96Mo1Ru46Co1,-1.424
O96Nb1Ru41Ge3Cr3,-0.239
O96Nb1Ru41Zn3Co3,-8.138
O96Nb1Ru42In3Cd2,-14.878
O96Nb1Ru43Ga2Co2,-4.266
O96Nb1Ru43In2Rh2,-5.410
O96Nb1Ru43Sb3Ti1,-2.351
O96Nb1Ru43Y3V1,-9.541
O96Nb1Ru44Cu3,-6.570
O96Nb1Ru44Ni3,-4.567
O96Nb1Ru45Zn2,-6.656
O96Ni1Ru41Cd3Co3,-9.707
O96Ni1Ru41Mo3Ga3,-6.140
O96Ni1Ru42Co3V2,-5.533
O96Ni1Ru43In1Co3,-6.785
O96Ni1Ru43Pd2Ti2,-2.496
O96Ni1Ru43Sb2Cu2,-6.162
O96Ni1Ru43Y1Sc3,-10.055
O96Ni1Ru44Tc1Cu2,-5.537
O96Ni1Ru45Cu2,-4.723
O96Ni1Ru46Mo1,-3.588
O96Os1Ru42Zr2Zn3,-6.774
O96Os1Ru43Ag3Zn1,-7.111
O96Os1Ru43Ir3Ge1,0.086
O96Os1Ru43Rh3Nb1,-1.513
